company,Founded Date,website,Headquarters Location,Industry Groups,Industries,CB Rank (Company),Full Description,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),Number of Founders,Number of Employees,IPO Status,IPO Date,Valuation at IPO Currency (in USD),IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,NA Count,founding_year,org_uuid,already_scraped,snapshot_in_window
River Edge Capital,2021-01-01,https://www.riversedgecap.com/,"Williamsport, Pennsylvania, United States","Financial Services, Lending and Investments, Real Estate","Angel Investment, Asset Management, Financial Services, Real Estate Investment",1309132.0,,1-10,,,,,,,,1-10,Private,,,,,,6,2021,58428,False,False
RV Retailer,2018-01-01,https://rvretailer.net/,"Fort Lauderdale, Florida, United States",Transportation,Automotive,273414.0,"RVRetailer is a leading recreational vehicle retail company, focus on providing an outstanding experience for recreational vehicle customers",1001-5000,,,,,,,2.0,1001-5000,Private,,,,,,6,2018,27234,False,False
Theo,2019-01-01,https://theo.agency,"Portland, Oregon, United States","Advertising, Data and Analytics, Internet Services, Sales and Marketing","Advertising, Analytics, Marketing, SEO",1042046.0,"Theo Agency is a digital marketing and advertising agency. The company offers services that help brands navigate the evolving marketing landscape. They work with both well-known brands and startups to launch full-funnel marketing activations. The team at Theo Agency is composed of thinkers and doers, curated from various network agencies. They are dedicated to helping their clients navigate the digital marketing landscape.",11-50,,,,,,,,11-50,Private,,,,,,6,2019,52548,False,False
Fynd,2021-01-05,https://www.getfynd.app,"Philadelphia, Pennsylvania, United States","Apps, Food and Beverage, Mobile, Software","Mobile Apps, Restaurants",115055.0,"Fynd is an application where users can discover deals and events near them. Fynd allows its users to find trivia, live music, and food and drink specials from their favorite establishments with a single click. Fynd provides social media promotion for businesses to help them reach a large number of potential new customers.",1-10,2.0,,2022-10-05,10000.0,Grant,40000.0,1.0,1-10,Private,,,,,,1,2021,14969,False,False
Owning,2018-01-01,https://www.owning.com/,"Orange, California, United States","Financial Services, Lending and Investments, Real Estate","Banking, Financial Services, Mortgage, Real Estate",198808.0,"Owning is a direct-to-consumer mortgage lender that provides services in the real estate and mortgage industry. Owning uses modern technology, communication, and research tools to reduce the stress, uncertainty, and time involved in real estate buying, selling, and financing.",501-1000,,M&A,,,,,1.0,501-1000,Private,,,,,,5,2018,22033,False,False
AuctusSol,2020-01-01,https://auctussol.com,"Schaumburg, Illinois, United States","Information Technology, Privacy and Security, Professional Services","Consulting, Cyber Security, Information Technology",803064.0,,101-250,,,,,,,1.0,101-250,Private,,,,,,6,2020,47334,False,False
ESGWISE,2023-04-01,https://esgwise.org,"Princeton, New Jersey, United States","Education, Financial Services, Other, Professional Services, Real Estate, Software","Consulting, Finance, Financial Services, Professional Services, Real Estate, Software, Training",587986.0,"ESGWise is a leading sustainability-focused company based in the United States. We specialize in helping businesses enhance their Environmental, Social, and Governance (ESG) performance, ultimately driving positive impact and sustainable growth. With a deep commitment to sustainability, we empower businesses to navigate the complex landscape of ESG factors, fostering responsible practices and boosting their ESG ratings. Mission: Our mission at ESGWise is to transform businesses into sustainable powerhouses that thrive in a rapidly changing world. We aim to be at the forefront of the sustainability revolution, guiding companies towards a more eco-conscious, socially responsible, and transparent future. Key Services: 1. ESG Strategy Consulting: We provide expert guidance to companies in formulating comprehensive ESG strategies tailored to their unique needs. Our consultants work closely with clients to identify ESG risks and opportunities, setting a clear path toward sustainability excellence. 2. Data Analytics and Reporting: ESGWise leverages cutting-edge data analytics to assess, measure, and monitor ESG performance. We help businesses collect, analyze, and report ESG data accurately, enhancing transparency and credibility. 3. Stakeholder Engagement: We facilitate meaningful engagement with stakeholders, including investors, customers, and communities, helping companies build trust and showcase their commitment to sustainability. 4. Sustainability Education: ESGWise offers educational resources and training to empower organizations with the knowledge and tools they need to integrate sustainability into their core operations. Why Choose ESGWise: - Expertise: Our team comprises seasoned experts in sustainability, ESG, and corporate responsibility. - Custom Solutions: We craft tailored solutions that align with each client's specific goals and challenges. - Impact-Driven: ESGWise is dedicated to driving real, measurable impact for businesses and the planet. - Global Reach: While based in the USA, we serve clients globally, contributing to the worldwide sustainability movement. Join us on our journey to a sustainable future with ESGWise. Together, we can make a difference.",51-100,,,,,,,1.0,51-100,Private,,,,,,6,2023,41018,False,False
Brink,2020-01-01,https://www.brink.trade/,"Boston, Massachusetts, United States","Apps, Blockchain and Cryptocurrency, Financial Services, Internet Services, Lending and Investments, Software","Apps, Decentralized Finance (DeFi), Trading Platform, Web3",234478.0,Brink is a trading application for NFTs and DeFi assets. Brink offers composable trading strategies and automated conditional orders that are built on blockchain. It automates order limits for ERC-20s and NFTs as well as monitors the order status.,1-10,1.0,Seed,2020-10-23,,Seed,,,1-10,Private,,,,,,2,2020,24750,False,False
Lion Forge Animation,2019-01-01,https://www.lionforgeanimation.com/,"St Louis, Missouri, United States","Media and Entertainment, Video","Animation, Film Production, Media and Entertainment",456968.0,,51-100,,,,,,,1.0,51-100,Private,,,,,,6,2019,36252,False,False
Discovearn,2023-08-15,https://discovearn.com,"Teaneck, New Jersey, United States","Advertising, Sales and Marketing","Advertising, Marketing",1193811.0,"Discovearn is an advertising services company that revolutionized how we view advertisements. Brands can easily create and manage their ad campaigns, track clicks and impressions, build leads, and expand their brand reach through quality traffic to their site, while visitors are rewarded for their interest. It was founded in 2023 and is located in Teaneck, New Jersey.",1-10,,,,,,,,1-10,Private,,,,,,6,2023,56442,False,False
